k,nn_purity,within,across,ratio,p
547,0.75,0.0670642081560066,0.08398343475859268,1.2522839986901526,0.0
400,0.6666666666666666,0.05258084946273131,0.06587465480776843,1.2528259904674917,0.002
200,0.6666666666666666,0.03186358128255428,0.041637829851381904,1.306752981786738,0.002
100,0.6666666666666666,0.019513080986976943,0.026895763957081313,1.3783453251196764,0.005
50,0.4166666666666667,0.010718535200036879,0.01413329852983211,1.3185848873998642,0.02
25,0.4166666666666667,0.007160596534049635,0.00910403709133705,1.2714076331554338,0.087
12,0.25,0.0023807161701136664,0.0033129479886945612,1.3915762115130195,0.04
6,0.08333333333333333,0.0007744723755151892,0.0009573126161270152,1.236083618205489,0.12
