,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
anthropic/claude-haiku-4.5,0.07760532150776053,0.05469327420546933,0.06799704360679971,0.05321507760532151,0.0746489283074649,0.05617147080561715,0.07119980290711998,0.07612712490761273,0.04434589800443459,0.04040404040404041,0.030303030303030304,0.03670854890367086,0.027346637102734665,0.04656319290465632,0.019216555801921657,0.012564671101256468,0.07440256220744025,0.06701157920670116,0.023158413402315843,0.046316826804631686
anthropic/claude-opus-4.8,0.07148040638606676,0.06041364296081277,0.06748911465892597,0.05206821480406386,0.07148040638606676,0.05859941944847605,0.0673076923076923,0.07238751814223512,0.04553701015965167,0.047532656023222056,0.029753265602322203,0.03646589259796807,0.033381712626995644,0.044085631349782294,0.023584905660377357,0.016872278664731493,0.06821480406386066,0.06676342525399129,0.027939042089985485,0.03864296081277213
anthropic/claude-sonnet-4.6,0.07337953526294333,0.056461475743986946,0.06216877293110476,0.05116184264166327,0.06991439054219323,0.05258866693844272,0.06807990216061964,0.07582551977170811,0.045658377496942515,0.04525071341214838,0.031390134529147976,0.0411740725642071,0.03689359967386873,0.045046881369751324,0.02079086832450061,0.015083571137382797,0.06828373420301671,0.06726457399103139,0.036078271504280474,0.03750509580105992
google/gemini-3.1-flash-lite,0.08878048780487806,0.052682926829268305,0.061707317073170745,0.047804878048780496,0.08463414634146342,0.04170731707317074,0.06902439024390246,0.09146341463414635,0.046829268292682934,0.04097560975609757,0.020975609756097562,0.034634146341463425,0.020975609756097562,0.038292682926829275,0.022439024390243905,0.01804878048780488,0.0829268292682927,0.07829268292682928,0.020000000000000004,0.0378048780487805
google/gemini-3.1-pro-preview,0.08002507312996238,0.06310071040534893,0.06623485165064771,0.046803175929795236,0.07751776013372334,0.0547430004178855,0.06748850814876722,0.08357709987463434,0.0457584621813623,0.04346009193480986,0.026535729210196403,0.03384872544922691,0.024655244463017128,0.043042206435436686,0.021938988717091514,0.013372335979941495,0.07271207689093187,0.07501044713748431,0.020894274968658585,0.039281236941078136
google/gemini-3.5-flash,0.07601417881055533,0.06439543127215439,0.06715242221346987,0.04686884600236313,0.07443875541551792,0.055927530523828275,0.06439543127215439,0.07877116975187082,0.046474990153603776,0.04864119732178023,0.02835762111067349,0.03525009846396219,0.028751476959432847,0.0411579361953525,0.02126821583300512,0.01260338716029933,0.07050019692792438,0.07148483654982277,0.026979125640015755,0.04056715242221347
openai/gpt-5.4,0.07465212485896953,0.05979691613388492,0.06825874388867996,0.04400150432493418,0.07352388115833021,0.05697630688228657,0.06393380970289582,0.07502820609251598,0.04475366679202707,0.04813839789394509,0.0236931177134261,0.035727717186912374,0.04475366679202707,0.05039488529522377,0.019932305377961642,0.011094396389620157,0.07089131252350508,0.06882286573899962,0.02425723956374577,0.04136893569010907
openai/gpt-5.4-mini,0.08482834994462903,0.061129568106312294,0.07220376522702104,0.04562569213732005,0.0823920265780731,0.0504983388704319,0.06600221483942414,0.08172757475083056,0.04651162790697675,0.040753045404208196,0.018604651162790697,0.030786267995570323,0.03255813953488373,0.042081949058693245,0.01993355481727575,0.013510520487264675,0.07153931339977852,0.07441860465116279,0.019269102990033225,0.04562569213732005
openai/gpt-5.5,0.07096541786743517,0.058717579250720464,0.06502161383285303,0.04646974063400577,0.07132564841498559,0.05853746397694525,0.06502161383285303,0.07186599423631125,0.046289625360230555,0.051332853025936605,0.023595100864553315,0.03782420749279539,0.04358789625360231,0.046289625360230555,0.023054755043227668,0.010806916426512969,0.07060518731988473,0.0679034582132565,0.032780979827089336,0.03800432276657061
qwen/qwen3.5-397b-a17b,0.0921682195920423,0.05943087383530596,0.06623016872324351,0.04104759506421556,0.08184336439184084,0.04583228405943087,0.06497104004029211,0.0921682195920423,0.047343238478972545,0.036514731805590527,0.018383278771090403,0.03374464870309746,0.02493074792243767,0.04532863258625031,0.022916142029715435,0.02115336187358348,0.06824477461596574,0.07504406950390329,0.021405187610173758,0.041299420800805835
qwen/qwen3.5-9b,0.09503177354130561,0.046216060080878106,0.062102830733679955,0.052281917966493355,0.08954361640670133,0.0488157134604275,0.07914500288850376,0.0904101675332178,0.04910456383593299,0.042172154823801274,0.02050837666088966,0.0317735413056037,0.025418833044482957,0.038994800693240905,0.021374927787406125,0.010687463893703062,0.06990179087232815,0.07885615251299827,0.013864818024263433,0.03379549393414212
qwen/qwen3.6-35b-a3b,0.0867528991971454,0.052854594112399636,0.07002676181980373,0.043933987511150754,0.08318465655664585,0.04304192685102587,0.07203389830508473,0.08742194469223907,0.05017841213202497,0.041034790365744866,0.02542372881355932,0.030999107939339875,0.02430865298840321,0.0483942908117752,0.0231935771632471,0.013380909901873328,0.07649420160570919,0.07314897413024085,0.02096342551293488,0.033229259589652095
