[22:39:30] Loaded 1068 existing results.
[22:39:30] P13 binary cache loaded.
[22:39:30] Total items: 1049 | Already done: 677 | Remaining: 372
[22:46:23]   [  93/372] P14 id=  21 | binary:✓ full:✓
[22:46:26]   [  94/372] P14 id=  22 | binary:✓ full:✓
[22:46:30]   [  95/372] P14 id=  23 | binary:✓ full:✓
[22:46:32]   [  96/372] P14 id=  24 | binary:✓ full:✓
[22:46:37]   [  97/372] P14 id=  25 | binary:✓ full:✓
[22:46:40]   [  98/372] P14 id=  26 | binary:✓ full:✓
[22:46:42]   [  99/372] P14 id=  27 | binary:✓ full:✓
[22:46:45]   [ 100/372] P14 id=  28 | binary:✓ full:✓
[22:46:48]   [ 101/372] P14 id=  29 | binary:✓ full:✓
[22:46:52]   [ 102/372] P14 id=  30 | binary:✓ full:✓
[22:46:56]   [ 103/372] P14 id=  31 | binary:✓ full:✓
[22:46:58]   [ 104/372] P14 id=  32 | binary:✓ full:✓
[22:47:01]   [ 105/372] P14 id=  33 | binary:✓ full:✓
[22:47:06]   [ 106/372] P14 id=  34 | binary:✓ full:✓
[22:47:09]   [ 107/372] P14 id=  35 | binary:✓ full:✓
[22:47:12]   [ 108/372] P14 id=  36 | binary:✓ full:✓
[22:47:15]   [ 109/372] P14 id=  37 | binary:✓ full:✓
[22:47:18]   [ 110/372] P14 id=  38 | binary:✓ full:✓
[22:47:23]   [ 111/372] P14 id=  39 | binary:✓ full:✓
[22:47:27]   [ 112/372] P14 id=  40 | binary:✓ full:✓
[22:47:29]   [ 113/372] P14 id=  41 | binary:✓ full:✓
[22:47:34]   [ 114/372] P14 id=  42 | binary:✓ full:✓
[22:47:37]   [ 115/372] P14 id=  43 | binary:✓ full:✓
[22:47:43]   [ 116/372] P14 id=  44 | binary:✓ full:✓
[22:47:45]   [ 117/372] P14 id=  45 | binary:✓ full:✓
[22:47:48]   [ 118/372] P14 id=  46 | binary:✓ full:✓
[22:47:51]   [ 119/372] P14 id=  47 | binary:✓ full:✓
[22:47:56]   [ 120/372] P14 id=  48 | binary:✓ full:✓
[22:47:59]   [ 121/372] P14 id=  49 | binary:✓ full:✓
[22:48:04]   [ 122/372] P14 id=  50 | binary:✓ full:✓
[22:48:06]   [ 123/372] P15 id=   1 | binary:✓ full:✓
[22:48:10]   [ 124/372] P15 id=   2 | binary:✓ full:✓
[22:48:14]   [ 125/372] P15 id=   3 | binary:✓ full:✓
[22:48:18]   [ 126/372] P15 id=   4 | binary:✓ full:✓
[22:48:21]   [ 127/372] P15 id=   5 | binary:✓ full:✓
[22:48:24]   [ 128/372] P15 id=   6 | binary:✓ full:✓
[22:48:27]   [ 129/372] P15 id=   7 | binary:✓ full:✓
[22:48:30]   [ 130/372] P15 id=   8 | binary:✓ full:✓
[22:48:34]   [ 131/372] P15 id=   9 | binary:✓ full:✓
[22:48:38]   [ 132/372] P15 id=  10 | binary:✓ full:✓
[23:07:29]   [ 133/372] P15 id=  11 | binary:✓ full:✓
[23:07:33]   [ 134/372] P15 id=  12 | binary:✓ full:✓
[23:07:38]   [ 135/372] P15 id=  13 | binary:✓ full:✓
[23:07:43]   [ 136/372] P15 id=  14 | binary:✓ full:✓
[23:07:46]   [ 137/372] P15 id=  15 | binary:✓ full:✓
[23:07:51]   [ 138/372] P15 id=  16 | binary:✓ full:✓
[23:42:10]   [ 139/372] P15 id=  17 | binary:✓ full:✓
[23:42:14]   [ 140/372] P15 id=  18 | binary:✓ full:✓
[23:42:17]   [ 141/372] P15 id=  19 | binary:✓ full:✓
[23:57:01] Loaded 1209 existing results.
[23:57:01] P13 binary cache loaded.
[23:57:01] Total items: 1049 | Already done: 818 | Remaining: 231
[23:57:05]   [   1/231] P15 id=  20 | binary:✓ full:✓
[23:57:08]   [   2/231] P15 id=  21 | binary:✓ full:✓
[23:57:12]   [   3/231] P15 id=  22 | binary:✓ full:✓
[23:57:16]   [   4/231] P15 id=  23 | binary:✓ full:✓
[23:57:20]   [   5/231] P15 id=  24 | binary:✓ full:✓
[23:57:23]   [   6/231] P15 id=  25 | binary:✓ full:✓
[23:57:26]   [   7/231] P15 id=  26 | binary:✓ full:✓
[23:57:30]   [   8/231] P15 id=  27 | binary:✓ full:✓
[23:57:33]   [   9/231] P15 id=  28 | binary:✓ full:✓
[23:57:36]   [  10/231] P15 id=  29 | binary:✓ full:✓
[23:57:39]   [  11/231] P15 id=  30 | binary:✓ full:✓
[23:57:43]   [  12/231] P15 id=  31 | binary:✓ full:✓
[23:57:46]   [  13/231] P15 id=  32 | binary:✓ full:✓
[23:57:49]   [  14/231] P15 id=  33 | binary:✓ full:✓
[23:57:51]   [  15/231] P15 id=  34 | binary:✓ full:✓
[23:57:54]   [  16/231] P15 id=  35 | binary:✓ full:✓
[23:57:57]   [  17/231] P15 id=  36 | binary:✓ full:✓
[23:58:00]   [  18/231] P15 id=  37 | binary:✓ full:✓
[23:58:03]   [  19/231] P15 id=  38 | binary:✓ full:✓
[23:58:07]   [  20/231] P15 id=  39 | binary:✓ full:✓
[23:58:10]   [  21/231] P15 id=  40 | binary:✓ full:✓
[23:58:13]   [  22/231] P15 id=  41 | binary:✓ full:✓
[23:58:17]   [  23/231] P15 id=  42 | binary:✓ full:✓
[23:58:18]   [  24/231] P15 id=  43 | binary:✓ full:✓
[23:58:21]   [  25/231] P15 id=  44 | binary:✓ full:✓
[23:58:23]   [  26/231] P15 id=  45 | binary:✓ full:✓
[23:58:26]   [  27/231] P15 id=  46 | binary:✓ full:✓
[23:58:29]   [  28/231] P15 id=  47 | binary:✓ full:✓
[23:58:33]   [  29/231] P15 id=  48 | binary:✓ full:✓
[23:58:36]   [  30/231] P15 id=  49 | binary:✓ full:✓
[23:58:39]   [  31/231] P15 id=  50 | binary:✓ full:✓
[23:58:42]   [  32/231] P16 id=   1 | binary:✓ full:✓
[23:58:46]   [  33/231] P16 id=   2 | binary:✗ full:✗
[23:58:48]   [  34/231] P16 id=   3 | binary:✗ full:✗
[23:58:53]   [  35/231] P16 id=   4 | binary:✓ full:✓
[23:58:56]   [  36/231] P16 id=   5 | binary:✓ full:✓
[23:58:59]   [  37/231] P16 id=   6 | binary:✓ full:✓
[23:59:03]   [  38/231] P16 id=   7 | binary:✓ full:✓
[23:59:06]   [  39/231] P16 id=   8 | binary:✓ full:✓
[23:59:08]   [  40/231] P16 id=   9 | binary:✓ full:✓
[23:59:12]   [  41/231] P16 id=  10 | binary:✗ full:✓
[23:59:15]   [  42/231] P16 id=  11 | binary:✓ full:✓
[23:59:18]   [  43/231] P16 id=  12 | binary:✓ full:✓
[23:59:21]   [  44/231] P16 id=  13 | binary:✓ full:✓
[23:59:24]   [  45/231] P16 id=  14 | binary:✓ full:✓
[23:59:27]   [  46/231] P16 id=  15 | binary:✓ full:✓
[23:59:30]   [  47/231] P16 id=  16 | binary:✓ full:✓
[23:59:33]   [  48/231] P16 id=  17 | binary:✓ full:✓
[23:59:36]   [  49/231] P16 id=  18 | binary:✗ full:✗
[23:59:39]   [  50/231] P16 id=  19 | binary:✓ full:✓
[23:59:43]   [  51/231] P16 id=  20 | binary:✓ full:✓
[23:59:46]   [  52/231] P16 id=  21 | binary:✓ full:✓
[23:59:48]   [  53/231] P16 id=  22 | binary:✓ full:✓
[23:59:51]   [  54/231] P16 id=  23 | binary:✓ full:✓
[23:59:55]   [  55/231] P16 id=  24 | binary:✓ full:✗
[23:59:57]   [  56/231] P16 id=  25 | binary:✓ full:✓
[00:00:00]   [  57/231] P16 id=  26 | binary:✓ full:✓
[00:00:03]   [  58/231] P16 id=  27 | binary:✓ full:✓
[00:00:06]   [  59/231] P16 id=  28 | binary:✓ full:✓
[00:00:10]   [  60/231] P16 id=  29 | binary:✓ full:✓
[00:00:13]   [  61/231] P16 id=  30 | binary:✓ full:✓
[00:00:17]   [  62/231] P16 id=  31 | binary:✗ full:✓
[00:00:21]   [  63/231] P16 id=  32 | binary:✓ full:✓
[00:00:25]   [  64/231] P16 id=  33 | binary:✓ full:✓
[00:00:29]   [  65/231] P16 id=  34 | binary:✓ full:✓
[00:00:33]   [  66/231] P16 id=  35 | binary:✓ full:✓
[00:00:36]   [  67/231] P16 id=  36 | binary:✗ full:✓
[00:00:40]   [  68/231] P16 id=  37 | binary:✓ full:✓
[00:00:44]   [  69/231] P16 id=  38 | binary:✗ full:✗
[00:00:48]   [  70/231] P16 id=  39 | binary:✓ full:✓
[00:00:51]   [  71/231] P16 id=  40 | binary:✓ full:✓
[00:00:55]   [  72/231] P16 id=  41 | binary:✓ full:✓
[00:00:59]   [  73/231] P16 id=  42 | binary:✓ full:✓
[00:01:03]   [  74/231] P16 id=  43 | binary:✓ full:✓
[00:01:06]   [  75/231] P16 id=  44 | binary:✗ full:✓
[00:01:10]   [  76/231] P16 id=  45 | binary:✓ full:✓
[00:01:14]   [  77/231] P16 id=  46 | binary:✓ full:✓
[00:01:17]   [  78/231] P16 id=  47 | binary:✓ full:✓
[00:01:21]   [  79/231] P16 id=  48 | binary:✓ full:✓
[00:01:25]   [  80/231] P16 id=  49 | binary:✓ full:✓
[00:01:30]   [  81/231] P16 id=  50 | binary:✓ full:✓
[00:01:33]   [  82/231] P16 id=  51 | binary:✓ full:✓
[00:01:35]   [  83/231] P16 id=  52 | binary:✓ full:✓
[00:01:38]   [  84/231] P16 id=  53 | binary:✓ full:✓
[00:01:41]   [  85/231] P16 id=  54 | binary:✓ full:✓
[00:01:44]   [  86/231] P16 id=  55 | binary:✓ full:✓
[00:01:46]   [  87/231] P16 id=  56 | binary:✗ full:✗
[00:01:50]   [  88/231] P16 id=  57 | binary:✓ full:✓
[00:01:53]   [  89/231] P16 id=  58 | binary:✗ full:✗
[00:01:56]   [  90/231] P16 id=  59 | binary:✗ full:✓
[00:01:59]   [  91/231] P16 id=  60 | binary:✓ full:✓
[00:02:03]   [  92/231] P16 id=  61 | binary:✓ full:✓
[00:02:06]   [  93/231] P16 id=  62 | binary:✗ full:✗
[00:02:09]   [  94/231] P16 id=  63 | binary:✓ full:✗
[00:02:13]   [  95/231] P16 id=  64 | binary:✓ full:✓
[00:02:19]   [  96/231] P16 id=  65 | binary:✓ full:✓
[00:02:23]   [  97/231] P16 id=  66 | binary:✗ full:✗
[00:02:26]   [  98/231] P16 id=  67 | binary:✓ full:✓
[00:02:29]   [  99/231] P16 id=  68 | binary:✓ full:✓
[00:02:34]   [ 100/231] P16 id=  69 | binary:✓ full:✓
[00:02:38]   [ 101/231] P16 id=  70 | binary:✗ full:✗
[00:02:42]   [ 102/231] P16 id=  71 | binary:✓ full:✓
[00:02:45]   [ 103/231] P16 id=  72 | binary:✓ full:✓
[00:02:52]   [ 104/231] P16 id=  73 | binary:✓ full:✓
[00:02:55]   [ 105/231] P16 id=  74 | binary:✓ full:✓
[00:02:59]   [ 106/231] P16 id=  75 | binary:✓ full:✓
[00:03:02]   [ 107/231] P16 id=  76 | binary:✗ full:✗
[00:03:07]   [ 108/231] P16 id=  77 | binary:✗ full:✓
[00:03:10]   [ 109/231] P16 id=  78 | binary:✓ full:✓
[00:03:13]   [ 110/231] P16 id=  79 | binary:✓ full:✓
[00:03:16]   [ 111/231] P16 id=  80 | binary:✓ full:✗
[00:03:20]   [ 112/231] P16 id=  81 | binary:✓ full:✗
[00:03:23]   [ 113/231] P16 id=  82 | binary:✓ full:✓
[00:03:28]   [ 114/231] P16 id=  83 | binary:✗ full:✗
[00:03:32]   [ 115/231] P16 id=  84 | binary:✓ full:✓
[00:03:35]   [ 116/231] P16 id=  85 | binary:✓ full:✓
[00:03:40]   [ 117/231] P16 id=  86 | binary:✓ full:✓
[00:03:43]   [ 118/231] P16 id=  87 | binary:✓ full:✓
[00:03:47]   [ 119/231] P16 id=  88 | binary:✗ full:✗
[00:03:49]   [ 120/231] P16 id=  89 | binary:✓ full:✓
[00:03:52]   [ 121/231] P16 id=  90 | binary:✓ full:✓
[00:03:56]   [ 122/231] P16 id=  91 | binary:✓ full:✓
[00:04:02]   [ 123/231] P16 id=  92 | binary:✓ full:✓
[00:04:05]   [ 124/231] P16 id=  93 | binary:✓ full:✓
[00:04:09]   [ 125/231] P16 id=  94 | binary:✗ full:✗
[00:04:13]   [ 126/231] P16 id=  95 | binary:✓ full:✓
[00:04:17]   [ 127/231] P16 id=  96 | binary:✓ full:✓
[00:04:20]   [ 128/231] P16 id=  97 | binary:✓ full:✓
[00:04:24]   [ 129/231] P16 id=  98 | binary:✗ full:✗
[00:04:29]   [ 130/231] P16 id=  99 | binary:✗ full:✓
[00:04:32]   [ 131/231] P16 id= 100 | binary:✓ full:✓
[00:04:35]   [ 132/231] P16 id= 101 | binary:✓ full:✓
[00:04:39]   [ 133/231] P16 id= 102 | binary:✓ full:✓
[00:04:42]   [ 134/231] P16 id= 103 | binary:✓ full:✗
[00:04:47]   [ 135/231] P16 id= 104 | binary:✗ full:✗
[00:04:51]   [ 136/231] P16 id= 105 | binary:✓ full:✓
[00:04:54]   [ 137/231] P16 id= 106 | binary:✓ full:✓
[00:04:59]   [ 138/231] P16 id= 107 | binary:✓ full:✓
[00:05:02]   [ 139/231] P16 id= 108 | binary:✓ full:✓
[00:05:06]   [ 140/231] P16 id= 109 | binary:✓ full:✓
[00:05:10]   [ 141/231] P16 id= 110 | binary:✓ full:✓
[00:05:13]   [ 142/231] P16 id= 111 | binary:✓ full:✓
[00:05:17]   [ 143/231] P16 id= 112 | binary:✗ full:✗
[00:05:20]   [ 144/231] P16 id= 113 | binary:✗ full:✓
[00:05:24]   [ 145/231] P16 id= 114 | binary:✓ full:✓
[00:05:30]   [ 146/231] P16 id= 115 | binary:✓ full:✓
[00:05:33]   [ 147/231] P16 id= 116 | binary:✓ full:✓
[00:05:37]   [ 148/231] P16 id= 117 | binary:✓ full:✓
[00:05:42]   [ 149/231] P16 id= 118 | binary:✗ full:✗
[00:05:46]   [ 150/231] P16 id= 119 | binary:✓ full:✓
[00:05:55]   [ 151/231] P16 id= 120 | binary:✓ full:✓
[00:05:59]   [ 152/231] P16 id= 121 | binary:✓ full:✓
[00:06:03]   [ 153/231] P16 id= 122 | binary:✓ full:✓
[00:06:06]   [ 154/231] P16 id= 123 | binary:✓ full:✓
[00:06:10]   [ 155/231] P16 id= 124 | binary:✓ full:✓
[00:06:13]   [ 156/231] P16 id= 125 | binary:✗ full:✗
[00:06:17]   [ 157/231] P16 id= 126 | binary:✓ full:✓
[00:06:20]   [ 158/231] P16 id= 127 | binary:✓ full:✓
[00:06:23]   [ 159/231] P16 id= 128 | binary:✓ full:✓
[00:06:27]   [ 160/231] P16 id= 129 | binary:✗ full:✓
[00:06:30]   [ 161/231] P16 id= 130 | binary:✓ full:✗
[00:06:33]   [ 162/231] P16 id= 131 | binary:✓ full:✓
[00:06:38]   [ 163/231] P16 id= 132 | binary:✓ full:✓
[00:06:41]   [ 164/231] P16 id= 133 | binary:✓ full:✓
[00:06:45]   [ 165/231] P16 id= 134 | binary:✓ full:✓
[00:06:48]   [ 166/231] P16 id= 135 | binary:✓ full:✓
[00:06:52]   [ 167/231] P16 id= 136 | binary:✓ full:✓
[00:06:55]   [ 168/231] P16 id= 137 | binary:✗ full:✓
[00:06:59]   [ 169/231] P16 id= 138 | binary:✓ full:✗
[00:39:13]   [ 170/231] P16 id= 139 | binary:✓ full:✓
[00:39:19]   [ 171/231] P16 id= 140 | binary:✓ full:✓
[01:11:21] Loaded 1380 existing results.
[01:11:21] P13 binary cache loaded.
[01:11:21] Total items: 1049 | Already done: 989 | Remaining: 60
[01:11:21]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:11:29]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dac880>
[01:11:37]   [   1/60] P16 id=141 → ERROR (saved)
[01:11:37]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:11:46]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dacb40>
[01:11:54]   [   2/60] P16 id=142 → ERROR (saved)
[01:11:54]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:29:15]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dace00>
[01:29:23]   [   3/60] P16 id=143 → ERROR (saved)
[01:29:23]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:29:31]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dad0c0>
[01:29:40]   [   4/60] P16 id=144 → ERROR (saved)
[01:29:40]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:29:48]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dad380>
[01:29:56]   [   5/60] P16 id=145 → ERROR (saved)
[01:29:56]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:46:07]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dad640>
[01:46:16]   [   6/60] P16 id=146 → ERROR (saved)
[01:46:16]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:46:24]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dad900>
[01:46:32]   [   7/60] P16 id=147 → ERROR (saved)
[01:46:32]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:46:40]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dadbc0>
[01:46:48]   [   8/60] P16 id=148 → ERROR (saved)
[01:46:48]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:46:56]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dade80>
[01:57:41]   [   9/60] P16 id=149 → ERROR (saved)
[01:57:41]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:57:49]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dae140>
[01:57:57]   [  10/60] P16 id=150 → ERROR (saved)
[01:57:57]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:58:05]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dae400>
[01:58:13]   [  11/60] P16 id=151 → ERROR (saved)
[01:58:13]   API error attempt 1: Can't pickle local object <function ask.<locals>._call at 0x107d7cd50>
[01:58:21]   API error attempt 2: Can't pickle local object <function ask.<locals>._call at 0x107dae6c0>
[01:58:23] Loaded 1391 existing results.
[01:58:23] P13 binary cache loaded.
[01:58:23] Total items: 1049 | Already done: 1000 | Remaining: 49
[01:58:28]   [   1/49] P16 id= 152 | binary:✓ full:✓
[01:58:34]   [   2/49] P16 id= 153 | binary:✓ full:✓
[01:58:40]   [   3/49] P16 id= 154 | binary:✓ full:✓
[01:58:46]   [   4/49] P16 id= 155 | binary:✓ full:✓
[01:58:49]   [   5/49] P16 id= 156 | binary:✓ full:✓
[01:58:53]   [   6/49] P16 id= 157 | binary:✓ full:✓
[01:58:56]   [   7/49] P16 id= 158 | binary:✓ full:✓
[01:59:01]   [   8/49] P16 id= 159 | binary:✓ full:✓
[01:59:04]   [   9/49] P16 id= 160 | binary:✗ full:✓
[01:59:07]   [  10/49] P16 id= 161 | binary:✓ full:✓
[01:59:11]   [  11/49] P16 id= 162 | binary:✓ full:✓
[01:59:14]   [  12/49] P16 id= 163 | binary:✓ full:✓
[01:59:18]   [  13/49] P16 id= 164 | binary:✓ full:✗
[01:59:21]   [  14/49] P16 id= 165 | binary:✓ full:✓
[01:59:26]   [  15/49] P16 id= 166 | binary:✗ full:✗
[01:59:30]   [  16/49] P16 id= 167 | binary:✓ full:✓
[01:59:33]   [  17/49] P16 id= 168 | binary:✓ full:✓
[01:59:36]   [  18/49] P16 id= 169 | binary:✓ full:✓
[01:59:39]   [  19/49] P16 id= 170 | binary:✗ full:✗
[01:59:44]   [  20/49] P16 id= 171 | binary:✓ full:✓
[01:59:47]   [  21/49] P16 id= 172 | binary:✓ full:✓
[01:59:53]   [  22/49] P16 id= 173 | binary:✓ full:✓
[01:59:56]   [  23/49] P16 id= 174 | binary:✓ full:✓
[01:59:59]   [  24/49] P16 id= 175 | binary:✗ full:✗
[02:00:02]   [  25/49] P16 id= 176 | binary:✓ full:✓
