[06:24:04] Loaded 1440 existing results.
[06:24:04] P13 binary cache loaded.
[06:24:04] Total P13-P16 items: 550 | Already done: 0 | Remaining: 550
[06:30:50]   [  92/550] P13 id=  92 | binary:✗ full:✓
[06:30:54]   [  93/550] P13 id=  93 | binary:✓ full:✓
[06:30:58]   [  94/550] P13 id=  94 | binary:✗ full:✓
[06:31:03]   [  95/550] P13 id=  95 | binary:✗ full:✓
[06:31:07]   [  96/550] P13 id=  96 | binary:✓ full:✓
[06:31:12]   [  97/550] P13 id=  97 | binary:✓ full:✓
[06:31:18]   [  98/550] P13 id=  98 | binary:✗ full:✓
[06:31:23]   [  99/550] P13 id=  99 | binary:✓ full:✗
[06:31:28]   [ 100/550] P13 id= 100 | binary:✗ full:✓
[06:31:33]   [ 101/550] P13 id= 101 | binary:✓ full:✓
[06:31:37]   [ 102/550] P13 id= 102 | binary:✓ full:✓
[06:31:41]   [ 103/550] P13 id= 103 | binary:✓ full:✗
[06:31:46]   [ 104/550] P13 id= 104 | binary:✓ full:✓
[06:31:50]   [ 105/550] P13 id= 105 | binary:✗ full:✗
[06:31:55]   [ 106/550] P13 id= 106 | binary:✓ full:✗
[06:31:59]   [ 107/550] P13 id= 107 | binary:✗ full:✗
[06:32:03]   [ 108/550] P13 id= 108 | binary:✓ full:✓
[06:32:10]   [ 109/550] P13 id= 109 | binary:✓ full:✓
[06:32:14]   [ 110/550] P13 id= 110 | binary:✓ full:✓
[06:32:19]   [ 111/550] P13 id= 111 | binary:✓ full:✓
[06:32:24]   [ 112/550] P13 id= 112 | binary:✗ full:✓
[06:32:28]   [ 113/550] P13 id= 113 | binary:✓ full:✗
[06:32:33]   [ 114/550] P13 id= 114 | binary:✓ full:✓
[06:32:37]   [ 115/550] P13 id= 115 | binary:✗ full:✓
[06:32:41]   [ 116/550] P13 id= 116 | binary:✓ full:✓
[06:32:46]   [ 117/550] P13 id= 117 | binary:✗ full:✓
[06:32:51]   [ 118/550] P13 id= 118 | binary:✓ full:✓
[06:32:56]   [ 119/550] P13 id= 119 | binary:✓ full:✓
[06:33:00]   [ 120/550] P13 id= 120 | binary:✗ full:✓
[06:33:05]   [ 121/550] P13 id= 121 | binary:✓ full:✓
[06:33:10]   [ 122/550] P13 id= 122 | binary:✓ full:✓
[06:33:14]   [ 123/550] P13 id= 123 | binary:✗ full:✓
[06:33:18]   [ 124/550] P13 id= 124 | binary:✓ full:✓
[07:20:19]   [ 125/550] P13 id= 125 | binary:✓ full:✓
[07:20:23] Loaded 1565 existing results.
[07:20:23] P13 binary cache loaded.
[07:20:23] Total P13-P16 items: 550 | Already done: 125 | Remaining: 425
[07:20:27]   [   1/425] P13 id= 126 | binary:✓ full:✓
[07:20:32]   [   2/425] P13 id= 127 | binary:✓ full:✗
[07:20:37]   [   3/425] P13 id= 128 | binary:✗ full:✗
[07:20:44]   [   4/425] P13 id= 129 | binary:✗ full:✓
[07:20:48]   [   5/425] P13 id= 130 | binary:✓ full:✓
[07:20:52]   [   6/425] P13 id= 131 | binary:✓ full:✓
[08:08:14]   [   7/425] P13 id= 132 | binary:✗ full:✓
[08:08:20]   [   8/425] P13 id= 133 | binary:✓ full:✓
[08:08:24]   [   9/425] P13 id= 134 | binary:✓ full:✓
[08:08:29]   [  10/425] P13 id= 135 | binary:✓ full:✓
[08:08:33]   [  11/425] P13 id= 136 | binary:✓ full:✗
[08:08:38]   [  12/425] P13 id= 137 | binary:✗ full:✓
[08:08:42]   [  13/425] P13 id= 138 | binary:✗ full:✗
[08:08:47]   [  14/425] P13 id= 139 | binary:✓ full:✓
[08:46:21]   [  15/425] P13 id= 140 | binary:✓ full:✓
[08:46:26]   [  16/425] P13 id= 141 | binary:✗ full:✗
[08:46:31]   [  17/425] P13 id= 142 | binary:✓ full:✗
[08:46:35]   [  18/425] P13 id= 143 | binary:✓ full:✓
[08:46:40]   [  19/425] P13 id= 144 | binary:✓ full:✓
[08:46:45]   [  20/425] P13 id= 145 | binary:✓ full:✓
[08:46:49]   [  21/425] P13 id= 146 | binary:✓ full:✓
[08:46:54]   [  22/425] P13 id= 147 | binary:✗ full:✓
[08:46:57]   [  23/425] P13 id= 148 | binary:✓ full:✓
[08:47:03]   [  24/425] P13 id= 149 | binary:✓ full:✓
[08:47:07]   [  25/425] P13 id= 150 | binary:✓ full:✓
[08:47:12]   [  26/425] P13 id= 151 | binary:✗ full:✓
[08:47:17]   [  27/425] P13 id= 152 | binary:✗ full:✓
[08:47:20]   [  28/425] P13 id= 153 | binary:✓ full:✓
